Gyógyszer neve;Hatóanyag;ATC-kód;Forgalomba hozatali eng. jogosultja;Nyilvántartási szám;Kiszerelés;Kiadhatóság;KP besorolás;Státusz;Engedélyezés dátuma;Törlés dátuma;
ACC LONG 600 mg pezsgõtabletta;acetylcysteine;R05CB01;Sandoz Hungária Kft.;OGYI-T-02021;10 X   - PP tartályban, 10 X   - tasakban, 12 X   - tasakban, 20 X   - PP tartályban, 20 X   - tasakban;VN ;;TK;1997.01.01;..;
Accofil 12 millió E/0,2 ml oldatos injekció vagy infúzió elõretöltött fecskendõben;filgrastim;L03AA02;Accord Healthcare S.L.U.;EU/1/14/946;1 X 0.2 ml elõretöltött fecskendõben, 1 X 0.2 ml elõretöltött fecskendõben, 10 X 0.2 ml elõretöltött fecskendõben, 10 X 0.2 ml elõretöltött fecskendõben, 3 X 0.2 ml elõretöltött fecskendõben, 3 X 0.2 ml elõretöltött fecskendõben, 5 X 0.2 ml elõretöltött fecskendõben, 5 X 0.2 ml elõretöltött fecskendõben, 7 X 0.2 ml elõretöltött fecskendõben;Sz ;;CTK;2021.06.10;..;
Accofil 30 millió E/0,5 ml oldatos injekció vagy infúzió elõretöltött fecskendõben;filgrastim;L03AA02;Accord Healthcare S.L.U.;EU/1/14/946;1 X 0.5 ml elõretöltött fecskendõben, 1 X 0.5 ml elõretöltött fecskendõben, 10 X 0.5 ml elõretöltött fecskendõben, 10 X 0.5 ml elõretöltött fecskendõben, 3 X 0.5 ml elõretöltött fecskendõben, 3 X 0.5 ml elõretöltött fecskendõben, 5 X 0.5 ml elõretöltött fecskendõben, 5 X 0.5 ml elõretöltött fecskendõben, 7 X 0.5 ml elõretöltött fecskendõben;Sz ;;CTK;2014.09.18;..;
Accofil 48 millió E/0,5 ml oldatos injekció vagy infúzió elõretöltött fecskendõben;filgrastim;L03AA02;Accord Healthcare S.L.U.;EU/1/14/946;1 X 0.5 ml elõretöltött fecskendõben, 1 X 0.5 ml elõretöltött fecskendõben, 10 X 0.5 ml elõretöltött fecskendõben, 10 X 0.5 ml elõretöltött fecskendõben, 3 X 0.5 ml elõretöltött fecskendõben, 3 X 0.5 ml elõretöltött fecskendõben, 5 X 0.5 ml elõretöltött fecskendõben, 5 X 0.5 ml elõretöltött fecskendõben, 7 X 0.5 ml elõretöltött fecskendõben;Sz ;;CTK;2014.09.18;..;
Accofil 70 millió E/0,73 ml oldatos injekció vagy infúzió elõretöltött fecskendõben;filgrastim;L03AA02;Accord Healthcare S.L.U.;EU/1/14/946;1 X 0.73 ml elõretöltött fecskendõben, 1 X 0.73 ml elõretöltött fecskendõben, 10 X 0.73 ml elõretöltött fecskendõben, 10 X 0.73 ml elõretöltött fecskendõben, 3 X 0.73 ml elõretöltött fecskendõben, 3 X 0.73 ml elõretöltött fecskendõben, 5 X 0.73 ml elõretöltött fecskendõben, 5 X 0.73 ml elõretöltött fecskendõben, 7 X 0.73 ml elõretöltött fecskendõben;Sz ;;CTK;2021.06.10;..;
ACCUPRO  5 mg filmtabletta;quinapril;C09AA06;Pfizer Kft.;OGYI-T-04163;100 X   - -, 30 X   - buborékcsomagolásban, 50 X   - -;V  ;;TT;1994.01.01;2023.09.05;
ACCUPRO 10 mg filmtabletta;quinapril;C09AA06;Pfizer Kft.;OGYI-T-04163;30 X   - buborékcsomagolásban;V  ;;TT;1994.01.01;2023.09.05;
ACCUPRO 20 mg filmtabletta;quinapril;C09AA06;Pfizer Kft.;OGYI-T-04163;30 X   - buborékcsomagolásban;V  ;;TT;1994.01.01;2023.09.05;
ACCUZIDE 10 mg/12,5 mg filmtabletta;quinapril, hydrochlorothiazide;C09BA06;Pfizer Kft.;OGYI-T-07968;100 X   - -, 30 X   - buborékcsomagolásban, 50 X   - -;V  ;;TT;2001.04.23;2023.09.05;
ACCUZIDE 20 mg/12,5 mg filmtabletta;quinapril, hydrochlorothiazide;C09BA06;Pfizer Kft.;OGYI-T-07968;30 X   - buborékcsomagolásban;V  ;;TT;2001.04.23;2023.09.05;
ACECLOFENAC ZENTIVA 100 mg filmtabletta;aceclofenac;M01AB16;Zentiva, k.s.;OGYI-T-23890;100 X   - buborékcsomagolásban, 180 X   - buborékcsomagolásban, 20 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 40 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban;V ;;TK;2021.06.03;..;
ACEOMEL 12,5 mg tabletta;captopril;C09AA01;PannonPharma Kft.;OGYI-T-06016;100 X   - tartályban, 30 X   - tartályban;V  ;;TK;1997.01.01;..;
ACEOMEL 25 mg tabletta;captopril;C09AA01;PannonPharma Kft.;OGYI-T-06016;100 X   - tartályban, 30 X   - tartályban;V  ;;TK;1997.01.01;..;
ACEOMEL 50 mg tabletta;captopril;C09AA01;PannonPharma Kft.;OGYI-T-06016;100 X   - tartályban, 30 X   - tartályban;V  ;;TK;1997.01.01;..;
ACEPRAMIN 4 g/10 ml koncentrátum oldatos infúzióhoz;aminocaproic acid;B02AA01;PannonPharma Kft.;OGYI-T-03346;10 X 10 ml ampulla;I  ;;TT;1968.01.01;2021.12.28;
ACEPRAMIN granulátum;aminocaproic acid;B02AA01;PannonPharma Kft.;OGYI-T-03346;1 X 240 g tasakban;V  ;;TK;1968.01.01;..;
ACICLOVIR AGEPHA 30 mg/g szemkenõcs;aciclovir;S01AD03;Agepha Pharma s.r.o;OGYI-T-23525;1 X 4.5 g Al tubusban;Sz ;;TK;2019.04.09;..;
ACICLOVIR AL 200 mg tabletta;aciclovir;J05AB01;Stada Arzneimittel AG;OGYI-T-07459;25 X   - buborékcsomagolásban, 50 X   - buborékcsomagolásban;V  ;;TK;2000.06.26;..;
ACICLOVIR AL 400 mg tabletta;aciclovir;J05AB01;Stada Arzneimittel AG;OGYI-T-07459;25 X   - buborékcsomagolásban, 50 X   - buborékcsomagolásban;V  ;;TK;2000.06.26;..;
ACICLOVIR AL 50 mg/g krém;aciclovir;D06BB03;Stada Arzneimittel AG;OGYI-T-07459;; ;;ATT;2000.06.08;2023.06.05;
ACICLOVIR AL 800 mg tabletta;aciclovir;J05AB01;Stada Arzneimittel AG;OGYI-T-07459;20 X   - buborékcsomagolásban, 40 X   - buborékcsomagolásban;V  ;;TK;2000.06.26;..;
ACICLOVIR AZEVEDOS 250 mg por oldatos infúzióhoz;aciclovir;J05AB01;Laboratórios Azevedos -Indústria Farmacéutica,S.A.;OGYI-T-23402;1 X   - injekciós üvegben, 10 X   - injekciós üvegben, 5 X   - injekciós üvegben;I ;;TK;2018.07.05;..;
ACICLOVIR NORIDEM 250 mg por oldatos infúzióhoz;aciclovir;J05AB01;Noridem Enterprises Ltd;OGYI-T-24171;1 X   - injekciós üvegben, 10 X   - injekciós üvegben, 5 X   - injekciós üvegben;I ;;TK;2022.12.21;..;
ACICLOVIR NORIDEM 500 mg por oldatos infúzióhoz;aciclovir;J05AB01;Noridem Enterprises Ltd;OGYI-T-24171;1 X   - injekciós üvegben, 10 X   - injekciós üvegben, 5 X   - injekciós üvegben;I ;;TK;2022.12.21;..;
ACICLOVIR ROMPHARM 250 mg por oldatos infúzióhoz;aciclovir;J05AB01;S.C. Rompharm Company S.R.L.;OGYI-T-24435;1 X   - injekciós üvegben;I ;;TK;2024.08.06;..;
ACICLOVIR STADA 50 mg/g krém;aciclovir;D06BB03;Stada Arzneimittel AG;OGYI-T-24240;1 X 2 g Al tubusban;VN  ;;TK;2000.06.08;..;
ACIDA 20 mg gyomornedv-ellenálló tabletta;pantoprazole;A02BC02;Zentiva, k.s.;OGYI-T-21209;14 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 7 X   - buborékcsomagolásban;VN ;;TK;2010.03.09;..;
ACIDO-GIT MAALOX belsõleges szuszpenzió;aluminium oxide, magnesium hydroxide;A02AD01;Opella Healthcare Commercial Kft.;OGYI-T-05908;1 X 250 ml palackban, 1 X 250 ml üvegben;VN GYK;;TT;1993.01.01;2023.01.20;
ACIDO-GIT MAALOX belsõleges szuszpenzió tasakban;aluminium oxide, hydrated, magnesium hydroxide;A02AD01;Opella Healthcare Commercial Kft.;OGYI-T-05908;20 X 4.3 ml tasakban, 20 X 4.3 ml tasakban;VN ;;TK;2010.06.10;..;
ACIDO-GIT MAALOX cukormentes rágótabletta;aluminium oxide, hydrated, magnesium hydroxide;A02AD01;Opella Healthcare Commercial Kft.;OGYI-T-05908;10 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban, 40 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;VN GYK;;TT;2015.09.09;2023.01.20;
ACIDO-GIT MAALOX rágótabletta;aluminium oxide, hydrated, magnesium hydroxide;A02AD01;Opella Healthcare Commercial Kft.;OGYI-T-05908;20 X   - buborékcsomagolásban, 40 X   - buborékcsomagolásban;VN  ;;TT;1997.01.01;2023.03.09;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (  3CH);;;BOIRON;OGYI-HGAL-23C3;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (  5CH);;;BOIRON;OGYI-HGAL-23C5;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (  6CH);;;BOIRON;OGYI-HGAL-23C6;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (  9CH);;;BOIRON;OGYI-HGAL-23C9;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák ( 12CH);;;BOIRON;OGYI-HGAL-23C12;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák ( 15CH);;;BOIRON;OGYI-HGAL-23C15;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák ( 30CH);;;BOIRON;OGYI-HGAL-23C30;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (200CH);;;BOIRON;OGYI-HGAL-23C200;1 X 4 g multi dose;VN ;;TK;1998.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C    5);;;Remedia Homöopathie GmbH;OGYI-HGAL-639C5;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;2000.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C    6);;;Remedia Homöopathie GmbH;OGYI-HGAL-639C6;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;2000.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C    9);;;Remedia Homöopathie GmbH;OGYI-HGAL-639C9;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;2000.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C   12);;;Remedia Homöopathie GmbH;OGYI-HGAL-639C12;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;2000.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C   15);;;Remedia Homöopathie GmbH;OGYI-HGAL-639C15;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;2000.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C   30);;;Remedia Homöopathie GmbH;OGYI-HGAL-639C30;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;2000.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C  200);;;Remedia Homöopathie GmbH;OGYI-HGAL-639C200;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;2000.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C 1000);;;Remedia Homöopathie GmbH;OGYI-HGAL-639C1000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;2000.01.01;..;
Acidum arsenicosum anhydricum (Arsenicum album) golyócskák (C10000);;;Remedia Homöopathie GmbH;OGYI-HGAL-639C10000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;2000.01.01;..;
Acidum hydrofluoricum (Fluoricum acidum) golyócskák (   5CH);;;BOIRON;OGYI-HGAL-17C5;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum hydrofluoricum (Fluoricum acidum) golyócskák (   6CH);;;BOIRON;OGYI-HGAL-17C6;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum hydrofluoricum (Fluoricum acidum) golyócskák (   9CH);;;BOIRON;OGYI-HGAL-17C9;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum hydrofluoricum (Fluoricum acidum) golyócskák (  12CH);;;BOIRON;OGYI-HGAL-17C12;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum hydrofluoricum (Fluoricum acidum) golyócskák (  15CH);;;BOIRON;OGYI-HGAL-17C15;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum hydrofluoricum (Fluoricum acidum) golyócskák (  30CH);;;BOIRON;OGYI-HGAL-17C30;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum hydrofluoricum (Fluoricum acidum) golyócskák ( 200CH);;;BOIRON;OGYI-HGAL-17C200;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
ACIDUM NICOTINICUM VASC 50 mg tabletta;nicotinic acid;C04AC01;PannonPharma Kft.;OGYI-T-12537;100 X   - buborékcsomagolásban, 20 X   - buborékcsomagolásban;V  ;;TK;1938.01.01;..;
Acidum nitricum S Phcp golyócskák;;;Phönix Lab. GmbH;OGYI-HG-141;1 X 20 g barna üvegpalackban;VN GYK;;TT;2002.01.01;2020.12.31;
Acidum oxalicum golyócskák (  3CH);;;BOIRON;OGYI-HGAL-317C3;1 X 4 g multi dose;VN ;;TK;2001.05.01;..;
Acidum oxalicum golyócskák (  5CH);;;BOIRON;OGYI-HGAL-317C5;1 X 4 g multi dose;VN ;;TK;2001.05.01;..;
Acidum oxalicum golyócskák (  6CH);;;BOIRON;OGYI-HGAL-317C6;1 X 4 g multi dose;VN ;;TK;2001.05.01;..;
Acidum oxalicum golyócskák (  9CH);;;BOIRON;OGYI-HGAL-317C9;1 X 4 g multi dose;VN ;;TK;2001.05.01;..;
Acidum oxalicum golyócskák ( 12CH);;;BOIRON;OGYI-HGAL-317C12;1 X 4 g multi dose;VN ;;TK;2001.05.01;..;
Acidum oxalicum golyócskák ( 15CH);;;BOIRON;OGYI-HGAL-317C15;1 X 4 g multi dose;VN ;;TK;2001.05.01;..;
Acidum oxalicum golyócskák ( 30CH);;;BOIRON;OGYI-HGAL-317C30;1 X 4 g multi dose;VN ;;TK;2001.05.01;..;
Acidum oxalicum golyócskák (200CH);;;BOIRON;OGYI-HGAL-317C200;1 X 4 g multi dose;VN ;;TK;2001.05.01;..;
Acidum phosphoricum dilutum golyócskák (C   5);;;Remedia Homöopathie GmbH;OGYI-HGAL-39/C5;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1999.01.01;2020.12.31;
Acidum phosphoricum dilutum golyócskák (C   6);;;Remedia Homöopathie GmbH;OGYI-HGAL-39/C6;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1999.01.01;2020.12.31;
Acidum phosphoricum dilutum golyócskák (C   9);;;Remedia Homöopathie GmbH;OGYI-HGAL-39/C9;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1999.01.01;2020.12.31;
Acidum phosphoricum dilutum golyócskák (C  12);;;Remedia Homöopathie GmbH;OGYI-HGAL-39/C12;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1999.01.01;2020.12.31;
Acidum phosphoricum dilutum golyócskák (C  15);;;Remedia Homöopathie GmbH;OGYI-HGAL-39/C15;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1999.01.01;2020.12.31;
Acidum phosphoricum dilutum golyócskák (C  30);;;Remedia Homöopathie GmbH;OGYI-HGAL-39/C30;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1999.01.01;2020.12.31;
Acidum phosphoricum dilutum golyócskák (C 200);;;Remedia Homöopathie GmbH;OGYI-HGAL-39/C200;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1999.01.01;2020.12.31;
Acidum phosphoricum dilutum golyócskák (C1000);;;Remedia Homöopathie GmbH;OGYI-HGAL-39/C1000;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1999.01.01;2020.12.31;
Acidum phosphoricum dilutum golyócskák (C10000);;;Remedia Homöopathie GmbH;OGYI-HGAL-39/C10000;1 X 1 g -, 1 X 10 g -, 1 X 20 g -, 1 X 50 g -;VN ;;TT;1999.01.01;2020.12.31;
Acidum phosphoricum golyócskák (C  5);;;BOIRON;OGYI-HGAL-64C5;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum phosphoricum golyócskák (C  6);;;BOIRON;OGYI-HGAL-64C6;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum phosphoricum golyócskák (C  9);;;BOIRON;OGYI-HGAL-64C9;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum phosphoricum golyócskák (C 12);;;BOIRON;OGYI-HGAL-64C12;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum phosphoricum golyócskák (C 15);;;BOIRON;OGYI-HGAL-64C15;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum phosphoricum golyócskák (C 30);;;BOIRON;OGYI-HGAL-64C30;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum phosphoricum golyócskák (C200);;;BOIRON;OGYI-HGAL-64C200;1 X 4 g multi dose;VN ;;TK;1996.01.01;..;
Acidum sulfuricum golyócskák (  2CH);;;BOIRON;OGYI-HGAL-41C2;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Acidum sulfuricum golyócskák (  5CH);;;BOIRON;OGYI-HGAL-41C5;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Acidum sulfuricum golyócskák (  6CH);;;BOIRON;OGYI-HGAL-41C6;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Acidum sulfuricum golyócskák (  9CH);;;BOIRON;OGYI-HGAL-41C9;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Acidum sulfuricum golyócskák ( 12CH);;;BOIRON;OGYI-HGAL-41C12;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Acidum sulfuricum golyócskák ( 15CH);;;BOIRON;OGYI-HGAL-41C15;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Acidum sulfuricum golyócskák ( 30CH);;;BOIRON;OGYI-HGAL-41C30;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
Acidum sulfuricum golyócskák (200CH);;;BOIRON;OGYI-HGAL-41C200;1 X 4 g multi dose;VN ;;TK;1999.01.01;..;
ACIDWELL 20 mg gyomornedv-ellenálló tabletta;pantoprazole;A02BC02;Sandoz Hungária Kft.;OGYI-T-21669;14 X   - buborékcsomagolásban, 14 X   - HDPE tartályban, 7 X   - buborékcsomagolásban, 7 X   - HDPE tartályban;VN ;;TK;2011.04.04;..;
ACILESOL 10 mg gyomornedv-ellenálló tabletta;rabeprazole;A02BC04;Actavis Group PTC ehf.;OGYI-T-21536;28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban;V ;;TK;2010.11.18;..;
ACILESOL 20 mg gyomornedv-ellenálló tabletta;rabeprazole;A02BC04;Actavis Group PTC ehf.;OGYI-T-21536;28 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban;V ;;TK;2010.11.18;..;
ACILIB 20 mg gyomornedv-ellenálló tabletta;pantoprazole;A02BC02;Egis Gyógyszergyár Zrt.;OGYI-T-22774;; ;;ATT;2014.12.19;2024.08.28;
ACIPHEN kenõcs;diethylamin salicylate;M02AC19;Wagner-Pharma Kft.;OGYI-T-03201;1 X 20 g tubusban, 1 X 50 g tubusban;VN ;;TK;1961.09.18;..;
ACIZALEP  75 mg gyomornedv-ellenálló filmtabletta;acetylsalicylic acid;B01AC06;Extractum-Pharma zrt.;OGYI-T-10102;100 X   - átlátszó buborékcsomagolásban, 30 X   - átlátszó buborékcsomagolásban, 50 X   - átlátszó buborékcsomagolásban;VN  ;;TK;2005.03.10;..;
Aclasta 5 mg oldatos infúzió;zoledronic acid;M05BA08;Sandoz Pharmaceuticals d.d.;EU/1/05/308;1 X 100 ml palackban, 5 X 100 ml palackban;Sz ;;CTK;2005.04.15;..;
ACLEXA 100 mg kemény kapszula;celecoxib;M01AH01;Krka d.d.,;OGYI-T-22585;10 X   - buborékcsomagolásban, 20 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V ;;TK;2013.12.07;..;
ACLEXA 200 mg kemény kapszula;celecoxib;M01AH01;Krka d.d.,;OGYI-T-22585;10 X   - buborékcsomagolásban, 20 X   - buborékcsomagolásban, 30 X   - buborékcsomagolásban;V ;;TK;2013.12.07;..;
ACLOTIN 250 mg filmtabletta;ticlopidine;B01AC05;Bausch Health Ireland Ltd.;OGYI-T-09235;20 X   - buborékcsomagolásban, 60 X   - buborékcsomagolásban;J ;;TK;2004.03.05;..;
ACNEX 10 mg/g+0,25 mg/g gél;clindamycin, tretinoin;D10AF51;Mylan EPD Kft.;OGYI-T-22460;1 X 30 g tubusban, 1 X 60 g tubusban;V ;;TT;2013.03.26;2023.01.10;
Acomplia 20 mg filmtabletta;rimonabant;A08AX01;Sanofi-Aventis (Paris);EU/1/06/344;;V ;;CTT;2006.06.19;2009.01.16;
Aconitum napellus (Aconitum) golyócskák  (  5CH);;;BOIRON;OGYI-HGAL-9C5;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (  6CH);;;BOIRON;OGYI-HGAL-9C6;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (  9CH);;;BOIRON;OGYI-HGAL-9C9;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Aconitum napellus (Aconitum) golyócskák  ( 12CH);;;BOIRON;OGYI-HGAL-9C12;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Aconitum napellus (Aconitum) golyócskák  ( 15CH);;;BOIRON;OGYI-HGAL-9C15;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Aconitum napellus (Aconitum) golyócskák  ( 30CH);;;BOIRON;OGYI-HGAL-9C30;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (200CH);;;BOIRON;OGYI-HGAL-9C200;1 X 4 g multi dose;VN ;;TK;1997.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (C    5);;;Remedia Homöopathie GmbH;OGYI-HGAL-6C5;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1992.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (C    6);;;Remedia Homöopathie GmbH;OGYI-HGAL-6C6;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1992.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (C    9);;;Remedia Homöopathie GmbH;OGYI-HGAL-6C9;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1992.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (C   12);;;Remedia Homöopathie GmbH;OGYI-HGAL-6C12;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1992.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (C   15);;;Remedia Homöopathie GmbH;OGYI-HGAL-6C15;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1992.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (C   30);;;Remedia Homöopathie GmbH;OGYI-HGAL-6C30;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1992.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (C  200);;;Remedia Homöopathie GmbH;OGYI-HGAL-6C200;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1992.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (C 1000);;;Remedia Homöopathie GmbH;OGYI-HGAL-6C1000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1992.01.01;..;
Aconitum napellus (Aconitum) golyócskák  (C10000);;;Remedia Homöopathie GmbH;OGYI-HGAL-6C10000;1 X 1 g üvegfiola, 1 X 10 g barna üvegpalackban, 1 X 20 g barna üvegpalackban, 1 X 50 g barna üvegpalackban;VN ;;TK;1992.01.01;..;
Actelsar HCT 40 mg/12,5 mg tabletta;telmisartan, hydrochlorothiazide;C09DA07;Actavis Group PTC ehf.;EU/1/13/817;14 X  - buborékcsomagolásban, 250 X   - HDPE tartályban, 28 X   - buborékcsomagolásban, 28 X   - buborékcsomagolásban, 30 X   - HDPE tartályban, 30 X  - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 56 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 84 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 90 X   - buborékcsomagolásban, 90 X   - HDPE tartályban, 98 X   - buborékcsomagolásban, 98 X   - buborékcsomagolásban;V ;;CTK;2013.03.13;..;
